Using device: cuda
开始训练...
Episode 1340, 追击星奖励: 1670.82, 逃逸星奖励: -1530.31, 平均捕获率 (last20): 1.00, 终端距离: 99.70, 终止原因: {'捕获': np.True_, '距离': np.float32(99.69516), '时间': 197.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1360, 追击星奖励: 1790.35, 逃逸星奖励: -1639.38, 平均捕获率 (last20): 0.95, 终端距离: 95.81, 终止原因: {'捕获': np.True_, '距离': np.float32(95.80674), '时间': 151.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1380, 追击星奖励: 1363.72, 逃逸星奖励: -1260.89, 平均捕获率 (last20): 1.00, 终端距离: 98.02, 终止原因: {'捕获': np.True_, '距离': np.float32(98.02366), '时间': 296.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1400, 追击星奖励: 1802.29, 逃逸星奖励: -1651.80, 平均捕获率 (last20): 1.00, 终端距离: 97.64, 终止原因: {'捕获': np.True_, '距离': np.float32(97.63584), '时间': 159.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1420, 追击星奖励: 1663.18, 逃逸星奖励: -1530.03, 平均捕获率 (last20): 0.95, 终端距离: 98.24, 终止原因: {'捕获': np.True_, '距离': np.float32(98.24161), '时间': 226.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1440, 追击星奖励: 1696.98, 逃逸星奖励: -1579.30, 平均捕获率 (last20): 0.95, 终端距离: 99.60, 终止原因: {'捕获': np.True_, '距离': np.float32(99.59677), '时间': 306.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1460, 追击星奖励: 1718.16, 逃逸星奖励: -1574.99, 平均捕获率 (last20): 0.95, 终端距离: 95.09, 终止原因: {'捕获': np.True_, '距离': np.float32(95.08632), '时间': 164.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1480, 追击星奖励: 1689.38, 逃逸星奖励: -1551.75, 平均捕获率 (last20): 0.95, 终端距离: 99.19, 终止原因: {'捕获': np.True_, '距离': np.float32(99.18944), '时间': 193.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1500, 追击星奖励: 1685.82, 逃逸星奖励: -1559.61, 平均捕获率 (last20): 0.90, 终端距离: 98.47, 终止原因: {'捕获': np.True_, '距离': np.float32(98.472824), '时间': 224.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1520, 追击星奖励: 1763.74, 逃逸星奖励: -1612.56, 平均捕获率 (last20): 1.00, 终端距离: 99.54, 终止原因: {'捕获': np.True_, '距离': np.float32(99.53875), '时间': 184.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1540, 追击星奖励: 1511.93, 逃逸星奖励: -1373.89, 平均捕获率 (last20): 0.95, 终端距离: 97.98, 终止原因: {'捕获': np.True_, '距离': np.float32(97.97591), '时间': 225.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1560, 追击星奖励: 1703.63, 逃逸星奖励: -1556.84, 平均捕获率 (last20): 0.90, 终端距离: 99.64, 终止原因: {'捕获': np.True_, '距离': np.float32(99.637726), '时间': 175.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1580, 追击星奖励: 1588.39, 逃逸星奖励: -1522.84, 平均捕获率 (last20): 1.00, 终端距离: 99.09, 终止原因: {'捕获': np.True_, '距离': np.float32(99.09168), '时间': 427.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
Episode 1600, 追击星奖励: 1607.12, 逃逸星奖励: -1491.98, 平均捕获率 (last20): 1.00, 终端距离: 98.15, 终止原因: {'捕获': np.True_, '距离': np.float32(98.146), '时间': 287.0, '追击星燃料耗尽判断': np.False_, '逃逸星燃料耗尽判断': np.False_, '超时判断': False}
